Country,Direction,Total,%total
United States,Export,648359,35.4%
Soviet Union,Export,575019,31.4%
United Kingdom,Export,137838,7.5%
France,Export,116102,6.3%
Germany (FRG),Export,81782,4.5%
China,Export,50294,2.7%
Italy,Export,30428,1.7%
Czechoslovakia,Export,29392,1.6%
Netherlands,Export,22344,1.2%
Switzerland,Export,16133,0.9%
India,Import,114899,6.3%
China,Import,75244,4.1%
Japan,Import,63322,3.5%
Egypt,Import,60194,3.3%
Germany (FRG),Import,55763,3.0%
Turkey,Import,54805,3.0%
Saudi Arabia,Import,54483,3.0%
Iraq,Import,50119,2.7%
South Korea,Import,49349,2.7%
Iran,Import,46131,2.5%
